iter	Passed	Remaining
0	1	154
1	2	144
2	4	140
3	5	130
4	6	128
5	8	126
6	9	132
7	11	131
8	12	129
9	14	127
10	15	127
11	16	124
12	18	123
13	19	121
14	21	121
15	22	119
16	23	116
17	25	115
18	26	113
19	27	111
20	29	111
21	31	110
22	32	108
23	34	107
24	35	106
25	36	104
26	38	102
27	39	102
28	41	101
29	42	99
30	44	98
31	45	96
32	47	95
33	48	93
34	49	92
35	51	91
36	52	89
37	54	88
38	56	87
39	57	85
40	58	84
41	59	81
42	60	80
43	61	78
44	63	77
45	64	76
46	66	74
47	67	73
48	69	72
49	71	71
50	72	69
51	73	68
52	75	67
53	77	65
54	78	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	87	53
62	88	51
63	90	50
64	91	49
65	93	47
66	94	46
67	95	45
68	97	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	104	34
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	112	26
81	113	25
82	115	23
83	116	22
84	117	20
85	118	19
86	120	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	11
92	127	9
93	129	8
94	130	6
95	131	5
96	132	4
97	134	2
98	135	1
99	136	0
